Order ID,SalesPersonID
ES-2018-1311038,1008
ES-2016-5113958,1005
ES-2016-2510515,1004
ES-2017-4380115,1002
ES-2018-2573330,1009
ES-2018-1872792,1009
ES-2018-3412387,1001
IT-2018-3245851,1005
IT-2017-1215824,1002
ES-2018-2557751,1006
ES-2018-4134792,1010
ES-2015-2801336,1003
ES-2017-5191940,1009
ES-2017-4020783,1002
ES-2017-3284813,1005
IT-2018-5016792,1002
IT-2017-2373016,1007
ES-2015-3186072,1005
ES-2015-5235241,1004
ES-2018-5640080,1007
IT-2018-2321796,1003
ES-2018-4777800,1008
ES-2018-3937023,1003
ES-2018-1324878,1002
ES-2015-4620955,1002
ES-2017-4122424,1004
ES-2017-4569090,1004
IT-2018-4707944,1007
ES-2015-5220738,1006
ES-2015-5287434,1006
ES-2018-4856325,1004
ES-2018-1193193,1010
ES-2017-4456541,1002
ES-2015-4932761,1007
ES-2018-3249626,1009
ES-2018-1016124,1005
ES-2018-2105640,1004
ES-2016-3032254,1010
ES-2018-5791774,1004
ES-2017-2386093,1002
ES-2018-5631536,1004
ES-2017-5581781,1002
ES-2016-1530191,1006
ES-2017-3971877,1002
ES-2016-1915501,1009
IT-2017-4388990,1006
ES-2017-3029399,1001
ES-2015-3805636,1010
ES-2018-2774938,1006
ES-2015-1406120,1004
ES-2015-3667388,1001
ES-2015-1720401,1008
ES-2018-2818758,1004
IT-2016-1191900,1010
ES-2018-3484812,1004
ES-2015-2377967,1005
ES-2016-5757351,1005
ES-2017-1169960,1010
IT-2018-4554442,1003
IT-2015-1900372,1004
ES-2015-1749151,1004
ES-2017-4897406,1001
ES-2015-1401137,1005
IT-2015-5134922,1002
IT-2016-2655811,1002
ES-2017-1621921,1005
ES-2017-2926991,1008
ES-2018-4717877,1006
ES-2018-1771479,1001
ES-2017-5376470,1007
ES-2015-3911616,1009
ES-2018-5347900,1003
ES-2017-3895853,1003
IT-2017-3695467,1004
ES-2015-3540276,1006
ES-2015-5894162,1006
ES-2016-5284545,1005
ES-2017-3480627,1008
IT-2017-2720003,1001
ES-2016-5980468,1001
ES-2016-5512464,1010
IT-2018-5192801,1006
ES-2017-1788644,1007
ES-2016-4698340,1009
ES-2018-3802139,1009
IT-2015-3760449,1001
IT-2016-4187289,1009
ES-2018-3655961,1006
IT-2016-1226862,1004
ES-2017-1739400,1001
ES-2017-2354581,1003
ES-2017-4165099,1010
ES-2016-1420387,1005
ES-2017-5960221,1006
ES-2016-4141764,1005
ES-2015-5384617,1008
ES-2018-3019536,1007
ES-2016-4071187,1008
ES-2018-3850519,1005
ES-2018-2938679,1006
ES-2018-4673578,1001
IT-2016-2956829,1008
ES-2018-3256320,1010
ES-2018-1956763,1007
ES-2018-3430575,1002
ES-2017-2121455,1001
IT-2017-5450529,1008
ES-2016-3278844,1007
ES-2018-1308719,1008
ES-2015-5987802,1007
ES-2018-1872018,1010
IT-2018-1036058,1001
ES-2018-5831908,1003
IT-2017-3376681,1010
ES-2016-5420130,1010
ES-2017-4701811,1004
ES-2015-4421897,1005
ES-2018-1987504,1008
ES-2017-1667528,1004
ES-2015-2720769,1010
ES-2016-1749192,1008
ES-2018-2039034,1007
ES-2015-3734581,1009
ES-2016-4307683,1010
ES-2016-4490883,1010
ES-2018-2282871,1004
ES-2018-4794612,1005
ES-2017-3867083,1010
ES-2015-3609014,1010
IT-2018-2907373,1006
ES-2016-2809459,1007
IT-2015-5989878,1002
ES-2017-5413372,1006
ES-2018-3878729,1007
IT-2017-5316481,1003
ES-2017-2028016,1009
ES-2018-2879883,1005
ES-2015-5649807,1004
ES-2016-2091336,1009
ES-2017-3243058,1004
ES-2016-2700213,1004
ES-2018-3573530,1004
ES-2016-2183106,1009
IT-2015-1573599,1009
ES-2016-5259635,1005
ES-2015-2401476,1005
IT-2016-5288691,1005
ES-2018-2815584,1010
ES-2016-1307059,1006
ES-2018-3066003,1006
IT-2016-1188964,1001
ES-2018-3432314,1005
IT-2018-5630655,1007
ES-2018-2939767,1008
IT-2018-2674196,1003
IT-2017-1992463,1003
ES-2016-5870268,1010
ES-2018-5547121,1008
ES-2015-3003511,1003
ES-2018-5485209,1009
ES-2017-3065153,1010
ES-2017-1484456,1010
ES-2018-5400129,1001
ES-2017-3098610,1007
IT-2015-5663038,1005
ES-2017-4180252,1010
IT-2017-3395178,1004
IT-2017-1127161,1005
ES-2015-1712442,1002
ES-2018-2968300,1001
ES-2016-4633993,1002
IT-2016-5883185,1006
IT-2018-1331498,1002
IT-2018-4317175,1002
IT-2018-3734233,1008
ES-2018-1237764,1005
ES-2018-1931896,1007
ES-2016-2506839,1004
ES-2017-3711061,1010
ES-2017-5905999,1007
ES-2018-1817870,1009
ES-2015-2673474,1007
ES-2016-1290570,1009
ES-2018-2420090,1001
ES-2015-5496709,1006
IT-2018-4429259,1004
ES-2018-2484644,1004
ES-2018-1515279,1003
IT-2018-5044898,1004
ES-2018-2689172,1005
ES-2018-2591069,1003
ES-2017-3066853,1003
ES-2017-1007331,1008
ES-2015-1640672,1010
ES-2018-5185744,1003
ES-2017-3340197,1005
ES-2017-3688439,1002
ES-2016-2074353,1007
ES-2017-1486678,1008
ES-2018-3934686,1001
IT-2016-5346950,1001
ES-2017-1836661,1006
ES-2016-1760393,1009
ES-2017-5448041,1006
ES-2015-2945927,1001
ES-2018-3986366,1009
ES-2015-3215372,1008
IT-2015-5629016,1004
ES-2017-4670822,1006
ES-2018-1766652,1001
IT-2018-1072003,1006
ES-2017-3927096,1003
ES-2018-1137361,1006
ES-2015-5814037,1004
ES-2017-5210417,1002
IT-2017-2616134,1003
IT-2016-4338663,1010
IT-2017-3279634,1008
ES-2016-4269542,1002
ES-2018-2592303,1009
ES-2016-1211442,1005
ES-2017-1622008,1010
ES-2018-5617990,1001
ES-2018-1503928,1007
ES-2017-1417572,1009
ES-2016-2110783,1003
ES-2016-3898439,1010
ES-2015-1458159,1003
ES-2018-1356130,1010
ES-2016-5824366,1006
ES-2018-3909772,1009
ES-2016-1484906,1010
ES-2018-5218647,1008
IT-2015-4028329,1006
ES-2018-3243241,1010
ES-2018-1154298,1008
ES-2016-3840924,1006
IT-2017-3214372,1009
ES-2016-3049668,1007
ES-2018-1271577,1008
ES-2018-3610373,1008
IT-2018-5784522,1007
IT-2016-5367645,1001
ES-2015-1679370,1010
ES-2015-2857462,1008
ES-2017-4548757,1006
IT-2018-2019502,1006
ES-2017-3291561,1009
ES-2018-5374606,1007
IT-2018-3941500,1010
IT-2016-1197304,1002
ES-2017-5958799,1007
ES-2018-4818116,1002
IT-2018-3118491,1006
ES-2018-5545008,1009
IT-2016-4452672,1001
IT-2016-1765963,1006
ES-2018-2873001,1002
ES-2018-1209005,1001
IT-2017-4762728,1001
ES-2017-2934598,1003
ES-2016-2424799,1009
ES-2017-3327575,1006
ES-2016-1909603,1003
ES-2016-2376278,1002
ES-2018-3549819,1008
ES-2016-3944475,1009
IT-2016-5774254,1005
ES-2017-3621706,1003
ES-2016-2368795,1010
IT-2018-2531959,1005
ES-2016-1830333,1002
ES-2016-5994251,1005
ES-2016-1059651,1003
ES-2018-4554406,1003
ES-2018-2718788,1003
IT-2018-2655984,1003
ES-2016-1177332,1006
ES-2017-1172576,1003
IT-2016-1032855,1007
ES-2018-5239688,1009
ES-2018-5949760,1009
ES-2017-3903431,1002
ES-2017-4895029,1002
IT-2016-1819598,1009
IT-2018-5285883,1008
ES-2016-5677695,1006
ES-2018-5748893,1006
ES-2018-3632460,1004
ES-2016-1994326,1001
IT-2018-3438902,1002
ES-2017-3118043,1008
ES-2016-2617664,1003
ES-2016-1743140,1002
ES-2015-4825230,1002
ES-2016-5138595,1008
IT-2018-1204575,1001
ES-2016-5343508,1009
ES-2018-1277554,1004
ES-2018-5272129,1004
ES-2017-5014054,1003
ES-2016-4904223,1007
IT-2017-4204870,1010
IT-2017-4007264,1006
ES-2016-4620972,1006
ES-2015-2093980,1009
ES-2015-4028861,1002
ES-2018-5081971,1009
IT-2017-3435780,1002
ES-2015-1708225,1010
IT-2016-5173520,1004
ES-2016-2160548,1001
ES-2017-2616819,1008
ES-2017-5305308,1002
ES-2016-5923089,1003
ES-2018-4285009,1004
ES-2018-2015796,1001
IT-2016-2967452,1003
ES-2016-5897153,1008
ES-2016-2195955,1004
IT-2017-3837703,1007
IT-2015-3284965,1007
ES-2015-5315807,1002
ES-2016-5847046,1007
ES-2017-5488008,1008
ES-2017-1668222,1008
ES-2017-3880977,1008
ES-2017-1341762,1004
ES-2016-4198217,1001
ES-2017-4510356,1007
IT-2015-1327965,1010
ES-2016-2376426,1001
ES-2017-4398455,1006
ES-2017-3724793,1006
ES-2016-3433124,1005
ES-2018-1637041,1006
ES-2015-4372047,1003
ES-2018-5651770,1003
ES-2016-2359818,1002
ES-2016-5365524,1003
ES-2015-5335590,1003
ES-2016-1176887,1007
ES-2016-2309141,1004
ES-2018-3984539,1001
ES-2018-3977309,1003
ES-2016-5125870,1001
ES-2015-2720307,1005
ES-2016-2102738,1006
IT-2016-5446380,1009
ES-2015-5177366,1008
ES-2017-4933394,1003
ES-2017-2219250,1004
ES-2018-4859001,1005
ES-2018-5297510,1003
ES-2017-3767529,1007
ES-2017-5791015,1007
ES-2018-2731678,1002
ES-2016-3492146,1010
ES-2018-1158805,1001
ES-2017-3508441,1002
ES-2017-1243709,1009
ES-2018-1113356,1010
ES-2016-5515506,1001
ES-2018-5749799,1010
ES-2015-4156324,1002
IT-2016-5228062,1010
ES-2016-1944737,1004
IT-2017-1537853,1004
ES-2018-1581942,1005
ES-2018-1486384,1001
ES-2015-1494790,1001
ES-2017-4632541,1008
ES-2017-2027910,1002
ES-2016-5064111,1001
ES-2016-1724662,1010
IT-2018-4774804,1005
ES-2016-4681472,1008
ES-2017-5623189,1004
ES-2016-5128771,1007
ES-2016-2280466,1010
ES-2018-3331248,1004
ES-2018-5710826,1001
ES-2018-5990473,1008
ES-2018-5693188,1003
ES-2016-1473317,1010
ES-2017-2402314,1007
ES-2016-1382586,1002
IT-2015-4626649,1004
IT-2018-3322102,1008
ES-2017-1777286,1007
ES-2016-3804736,1002
ES-2018-5225520,1004
ES-2015-2010166,1003
IT-2016-2539640,1010
ES-2015-2755002,1001
ES-2015-5754966,1005
ES-2018-5566428,1006
ES-2015-1589842,1008
ES-2015-1351543,1001
ES-2015-2933675,1010
ES-2015-5239101,1006
ES-2018-5928432,1008
ES-2017-1413393,1006
ES-2017-4732219,1002
ES-2018-1976630,1009
ES-2018-1679056,1003
ES-2018-1678899,1001
IT-2018-3296819,1004
IT-2015-4317663,1003
ES-2016-3246286,1002
IT-2018-4194003,1003
ES-2016-2201693,1007
ES-2018-2548169,1004
ES-2017-4866061,1007
ES-2018-4357014,1007
ES-2017-3764055,1006
ES-2018-2522974,1010
ES-2016-3533091,1010
IT-2016-2582915,1008
ES-2015-4805316,1003
ES-2017-4276357,1008
IT-2017-5753206,1001
ES-2016-1462152,1006
ES-2018-4238956,1006
IT-2018-2208571,1001
IT-2016-5602177,1005
IT-2018-3101005,1004
ES-2015-4926746,1004
ES-2016-5770374,1001
ES-2017-5901531,1002
ES-2018-4865613,1006
IT-2015-3461936,1009
ES-2016-4959766,1010
IT-2017-2626751,1002
ES-2017-1347677,1001
ES-2016-4907139,1010
IT-2016-1694853,1002
ES-2017-5584061,1008
ES-2017-1121754,1007
ES-2016-5188979,1002
IT-2018-2984755,1006
ES-2018-1475385,1004
IT-2018-1725451,1010
ES-2018-5848816,1008
IT-2016-2848370,1006
ES-2017-5687296,1001
ES-2018-4785777,1001
ES-2017-3293691,1006
ES-2018-1048212,1009
ES-2018-1710298,1009
ES-2018-4438910,1010
ES-2015-1657853,1008
IT-2017-1372622,1006
ES-2018-2598901,1010
IT-2018-5062587,1003
ES-2016-5338551,1005
ES-2015-2045003,1005
ES-2018-3625378,1009
ES-2016-2332844,1009
ES-2015-1591803,1008
IT-2015-5515844,1009
IT-2016-3079936,1004
ES-2017-4541341,1003
ES-2015-3188488,1008
ES-2016-3876991,1001
ES-2016-3569748,1007
ES-2016-3519634,1001
IT-2018-1555885,1009
ES-2018-4613373,1005
ES-2018-3404737,1009
ES-2018-3250343,1001
ES-2018-1343492,1009
IT-2017-5719417,1009
ES-2018-5625908,1003
ES-2018-3898009,1003
ES-2016-4844965,1001
IT-2018-5669188,1005
ES-2018-3079041,1007
ES-2015-3080574,1010
ES-2018-1566594,1008
ES-2018-3730302,1010
ES-2016-4070290,1008
ES-2018-4329629,1005
ES-2017-2161351,1007
ES-2017-1540151,1003
ES-2017-5746149,1003
IT-2018-1842643,1007
IT-2018-3434836,1007
ES-2015-5644297,1001
ES-2018-2426460,1003
IT-2018-2544381,1006
ES-2017-5443807,1002
ES-2017-4132276,1007
